filing_id,filing_date,transaction_date,ticker,insider_name,insider_title,transaction_type,shares_transacted,price_per_share,transaction_value,shares_owned_after,ownership_type,filing_delay_days
7112,2018-01-30,2018-01-29,ROV,Insider_ROV_3,CFO,S-Sale,7342,21.09,154872.71,19617,Direct,1
3232,2018-01-30,2018-01-28,OSBT,Insider_OSBT_3,VP,S-Sale,26573,12.05,320103.08,17711,Direct,2
6436,2018-01-31,2018-01-28,UNI,Insider_UNI_5,General Counsel,S-Sale,34083,18.17,619367.04,0,Direct,3
1438,2018-01-31,2018-01-21,HTPM,Insider_HTPM_2,10% Owner,P-Purchase,100,16.92,1691.53,25684,Direct,10
3418,2018-01-31,2018-01-29,AEWZ,Insider_AEWZ_2,Director,P-Purchase,4696,20.35,95581.26,441798,Direct,2
7960,2018-01-31,2018-01-30,QZTL,Insider_QZTL_3,Director,S-Sale,164078,11.6,1902930.24,0,Direct,1
7022,2018-01-31,2018-01-30,XEC,Insider_XEC_6,10% Owner,S-Sale,10282,7.57,77860.35,11042,Indirect,1
7422,2018-01-31,2018-01-29,LMLN,Insider_LMLN_7,CTO,S-Sale,17208,10.02,172367.06,95102,Indirect,2
6889,2018-01-31,2018-01-30,EFCU,Insider_EFCU_1,VP,P-Purchase,1743,10.08,17578.14,16667,Direct,1
7418,2018-02-01,2018-01-30,ASJL,Insider_ASJL_4,General Counsel,S-Sale,1385,38.25,52973.1,30967,Direct,2
7408,2018-02-01,2018-01-22,YTMI,Insider_YTMI_3,CTO,P-Purchase,33128,15.21,503969.13,68620,Indirect,10
1588,2018-02-01,2018-01-30,UNI,Insider_UNI_3,VP,S-Sale,1989,24.18,48091.83,24700,Direct,2
3731,2018-02-01,2018-01-22,OYW,Insider_OYW_1,VP,P-Purchase,669,12.01,8037.36,27947,Direct,10
7499,2018-02-02,2018-01-30,EOYB,Insider_EOYB_4,10% Owner,P-Purchase,1249,2.58,3223.84,134376,Direct,3
1495,2018-02-02,2018-02-01,OWNK,Insider_OWNK_0,VP,S-Sale,24870,13.99,347918.02,21838,Direct,1
4816,2018-02-02,2018-01-29,TMP,Insider_TMP_9,SVP,S-Sale,586,21.54,12623.56,11528,Indirect,4
5497,2018-02-02,2018-02-01,YCIQ,Insider_YCIQ_4,SVP,S-Sale,12419,4.79,59493.47,6076,Indirect,1
1800,2018-02-02,2018-01-31,DEWG,Insider_DEWG_2,VP,P-Purchase,942,21.84,20571.39,3716,Direct,2
3207,2018-02-05,2018-02-04,TKQH,Insider_TKQH_3,SVP,S-Sale,6623,5.7,37764.25,49392,Direct,1
1290,2018-02-05,2018-01-31,FVJ,Insider_FVJ_3,Director,S-Sale,3619,8.49,30714.03,3565,Indirect,5
4088,2018-02-05,2018-02-03,OAU,Insider_OAU_0,CEO,S-Sale,10072,4.32,43549.49,2798,Direct,2
4215,2018-02-05,2018-01-31,FVJ,Insider_FVJ_5,CTO,S-Sale,21954,10.92,239836.72,0,Trust,5
6258,2018-02-06,2018-01-27,NCF,Insider_NCF_0,Director,S-Sale,14977,56.84,851363.17,33167,Direct,10
7367,2018-02-06,2018-02-04,PWBQ,Insider_PWBQ_3,VP,S-Sale,7145,13.44,96012.68,0,Direct,2
5068,2018-02-08,2018-02-06,ZHZ,Insider_ZHZ_3,VP,P-Purchase,135,2.69,363.02,50987,Direct,2
1587,2018-02-08,2018-02-06,LEEW,Insider_LEEW_2,COO,S-Sale,20518,3.44,70667.05,0,Direct,2
1424,2018-02-08,2018-02-07,ZSZ,Insider_ZSZ_0,General Counsel,S-Sale,84254,5.06,426508.97,0,Direct,1
5643,2018-02-09,2018-02-04,XQQ,Insider_XQQ_3,General Counsel,S-Sale,100,3.58,358.35,245164,Indirect,5
6964,2018-02-09,2018-02-08,YROI,Insider_YROI_5,10% Owner,P-Purchase,3130,8.3,25965.61,253538,Direct,1
119,2018-02-09,2018-02-02,AVA,Insider_AVA_5,VP,S-Sale,105411,21.79,2296760.16,0,Direct,7
4368,2018-02-12,2018-02-11,EOYB,Insider_EOYB_2,Director,S-Sale,1685,2.46,4147.08,87778,Direct,1
1922,2018-02-12,2018-02-10,KPQ,Insider_KPQ_2,Director,S-Sale,3921,22.36,87676.53,23500,Direct,2
3056,2018-02-12,2018-02-09,JBZ,Insider_JBZ_4,General Counsel,S-Sale,5036,7.57,38106.25,0,Direct,3
7657,2018-02-12,2018-02-08,IGRD,Insider_IGRD_2,SVP,S-Sale,6479,7.91,51257.14,0,Direct,4
6660,2018-02-13,2018-02-10,AOA,Insider_AOA_2,10% Owner,S-Sale,2591,10.12,26211.27,379040,Indirect,3
5677,2018-02-13,2018-02-06,NPNL,Insider_NPNL_4,CFO,S-Sale,7345,4.22,30972.0,128916,Direct,7
3765,2018-02-13,2018-02-13,NCA,Insider_NCA_5,SVP,S-Sale,75752,28.45,2154832.84,0,Direct,0
1979,2018-02-13,2018-02-09,IXA,Insider_IXA_2,CEO,S-Sale,506,10.46,5291.93,10698,Trust,4
349,2018-02-13,2018-02-11,LFBU,Insider_LFBU_2,Director,P-Purchase,697,7.33,5106.87,2223,Trust,2
5815,2018-02-13,2018-02-12,TPYV,Insider_TPYV_2,VP,S-Sale,12988,8.44,109591.22,6081,Direct,1
208,2018-02-13,2018-02-13,KZW,Insider_KZW_4,VP,S-Sale,516,29.45,15198.1,58025,Direct,0
7343,2018-02-14,2018-02-11,APGE,Insider_APGE_1,Director,S-Sale,1206,9.26,11172.68,216,Trust,3
6864,2018-02-14,2018-02-14,ACR,Insider_ACR_2,Director,P-Purchase,2077,5.25,10905.31,87811,Direct,0
310,2018-02-15,2018-02-08,CCAE,Insider_CCAE_2,General Counsel,S-Sale,4286,17.46,74845.84,33496,Indirect,7
4435,2018-02-15,2018-02-13,ZPU,Insider_ZPU_6,Director,S-Sale,279,9.24,2578.81,1827,Direct,2
5585,2018-02-16,2018-02-15,FHI,Insider_FHI_1,SVP,S-Sale,8226,17.96,147763.43,0,Indirect,1
3709,2018-02-16,2018-02-15,QFX,Insider_QFX_0,CTO,S-Sale,873,3.41,2976.59,31017,Direct,1
3131,2018-02-16,2018-02-13,KKP,Insider_KKP_1,SVP,S-Sale,23462,15.18,356265.71,162617,Direct,3
7384,2018-02-16,2018-02-13,VCAC,Insider_VCAC_2,Director,S-Sale,4562,15.5,70729.43,11203,Direct,3
4123,2018-02-16,2018-02-15,VBJ,Insider_VBJ_3,General Counsel,S-Sale,3476,3.92,13622.81,8361,Indirect,1
5830,2018-02-19,2018-02-18,YTMI,Insider_YTMI_6,Director,P-Purchase,3470,25.78,89445.55,25391,Trust,1
6927,2018-02-19,2018-02-14,XEC,Insider_XEC_9,VP,S-Sale,2410,4.72,11382.49,811,Direct,5
1961,2018-02-19,2018-02-19,EXQN,Insider_EXQN_1,10% Owner,S-Sale,384,8.56,3286.14,62358,Direct,0
894,2018-02-19,2018-02-14,GYM,Insider_GYM_0,VP,S-Sale,190,20.54,3903.43,135445,Indirect,5
4669,2018-02-20,2018-02-18,ZSZ,Insider_ZSZ_4,General Counsel,S-Sale,10579,5.79,61293.06,0,Direct,2
862,2018-02-20,2018-02-18,XEC,Insider_XEC_8,CEO,S-Sale,1190,8.84,10524.29,288809,Direct,2
4403,2018-02-20,2018-02-18,HIGA,Insider_HIGA_5,Controller,S-Sale,19923,5.33,106137.77,53598,Direct,2
6020,2018-02-20,2018-02-19,AVA,Insider_AVA_4,10% Owner,S-Sale,3149,21.04,66248.47,29587,Direct,1
5157,2018-02-21,2018-02-18,BOHH,Insider_BOHH_2,Director,S-Sale,901,24.36,21951.15,32914,Direct,3
2976,2018-02-21,2018-02-19,JPHF,Insider_JPHF_0,10% Owner,S-Sale,98574,4.09,403144.78,77425,Direct,2
7759,2018-02-21,2018-02-20,LMLN,Insider_LMLN_2,VP,S-Sale,6985,7.81,54583.94,250555,Direct,1
4228,2018-02-21,2018-02-19,VCAC,Insider_VCAC_3,Director,S-Sale,1174,9.91,11629.09,139633,Trust,2
3706,2018-02-21,2018-02-19,AHQ,Insider_AHQ_1,CTO,P-Purchase,8498,5.74,48814.93,14679,Direct,2
4741,2018-02-22,2018-02-19,CSP,Insider_CSP_1,General Counsel,P-Purchase,729,12.37,9020.83,2051,Direct,3
1949,2018-02-22,2018-02-19,ROV,Insider_ROV_1,Controller,P-Purchase,989,24.79,24521.75,22931,Direct,3
2945,2018-02-22,2018-02-20,ASJL,Insider_ASJL_3,COO,S-Sale,22438,22.31,500484.9,1872,Indirect,2
3857,2018-02-22,2018-02-19,VKEA,Insider_VKEA_3,10% Owner,P-Purchase,367,7.77,2849.92,4477,Direct,3
400,2018-02-22,2018-02-21,FSLV,Insider_FSLV_7,Director,S-Sale,921,32.48,29911.41,51171,Trust,1
4038,2018-02-22,2018-02-22,VKEA,Insider_VKEA_2,VP,S-Sale,249,4.88,1216.04,6539,Indirect,0
7305,2018-02-23,2018-02-21,KEDC,Insider_KEDC_7,CFO,S-Sale,1566,7.53,11799.09,18525,Indirect,2
7199,2018-02-23,2018-02-22,KDMG,Insider_KDMG_3,SVP,S-Sale,5484,24.88,136419.14,47425,Indirect,1
2395,2018-02-23,2018-02-22,TOOX,Insider_TOOX_5,Director,S-Sale,31129,2.82,87881.61,40194,Direct,1
4647,2018-02-26,2018-02-25,NCF,Insider_NCF_1,Director,P-Purchase,2311,60.97,140896.12,62611,Direct,1
345,2018-02-26,2018-02-25,JWZ,Insider_JWZ_2,Controller,S-Sale,13798,18.32,252718.54,63069,Trust,1
4406,2018-02-26,2018-02-19,JPHF,Insider_JPHF_4,Director,P-Purchase,378,8.55,3233.06,3213,Direct,7
7866,2018-02-26,2018-02-23,RME,Insider_RME_0,VP,P-Purchase,163,5.36,873.38,26186,Direct,3
2988,2018-02-26,2018-02-23,AXOW,Insider_AXOW_8,CFO,P-Purchase,564,16.46,9284.49,58081,Direct,3
2211,2018-02-26,2018-02-25,APLS,Insider_APLS_3,10% Owner,S-Sale,101614,17.98,1826857.13,0,Indirect,1
6900,2018-02-26,2018-02-19,HIGA,Insider_HIGA_3,Director,S-Sale,123,4.21,517.5,2274,Indirect,7
7187,2018-02-26,2018-02-22,NUFC,Insider_NUFC_0,VP,P-Purchase,6048,22.78,137745.13,577356,Indirect,4
1422,2018-02-26,2018-02-24,WNGI,Insider_WNGI_2,10% Owner,S-Sale,2778,5.45,15145.49,53464,Trust,2
4648,2018-02-26,2018-02-24,AEWZ,Insider_AEWZ_0,10% Owner,S-Sale,3435,12.63,43389.32,27235,Direct,2
6768,2018-02-27,2018-02-25,HTPM,Insider_HTPM_1,Director,P-Purchase,1560,17.81,27785.28,192827,Direct,2
6501,2018-02-27,2018-02-25,JPO,Insider_JPO_3,Director,S-Sale,710,8.91,6325.45,29167,Indirect,2
2193,2018-02-27,2018-02-25,XEC,Insider_XEC_6,10% Owner,S-Sale,445,8.87,3947.18,121326,Direct,2
1940,2018-02-27,2018-02-27,OYV,Insider_OYV_1,General Counsel,S-Sale,728321,8.71,6343219.96,0,Indirect,0
1514,2018-02-27,2018-02-20,TOOX,Insider_TOOX_1,10% Owner,S-Sale,10457,2.47,25861.11,0,Direct,7
6373,2018-02-28,2018-02-23,UPT,Insider_UPT_0,VP,S-Sale,1239,2.16,2673.29,2395,Direct,5
1102,2018-02-28,2018-02-28,JWZ,Insider_JWZ_1,CEO,S-Sale,1494,17.57,26248.07,1523,Direct,0
4766,2018-03-01,2018-02-27,WFQ,Insider_WFQ_1,VP,S-Sale,23134,31.1,719536.27,215412,Indirect,2
2582,2018-03-01,2018-02-26,OWNK,Insider_OWNK_2,CEO,P-Purchase,695,21.28,14790.59,27319,Direct,3
888,2018-03-01,2018-02-26,MAVT,Insider_MAVT_4,Director,P-Purchase,39892,4.38,174530.64,146597,Indirect,3
3617,2018-03-01,2018-02-28,VNFF,Insider_VNFF_3,SVP,P-Purchase,143,21.38,3056.97,47809,Indirect,1
2540,2018-03-02,2018-02-26,KKRO,Insider_KKRO_4,10% Owner,S-Sale,971,16.88,16390.66,520023,Direct,4
2750,2018-03-02,2018-02-28,KEDC,Insider_KEDC_8,SVP,S-Sale,8893,6.2,55161.17,80229,Direct,2
7183,2018-03-02,2018-02-20,VQTJ,Insider_VQTJ_3,VP,S-Sale,25591,6.39,163650.55,0,Direct,10
4948,2018-03-05,2018-03-04,KEDC,Insider_KEDC_5,COO,S-Sale,1550,4.79,7421.0,8954,Direct,1
1261,2018-03-05,2018-03-04,ZWZ,Insider_ZWZ_3,Director,S-Sale,1225,6.54,8015.62,50227,Direct,1
506,2018-03-05,2018-03-03,EFCU,Insider_EFCU_0,Controller,S-Sale,26170,8.57,224241.66,0,Indirect,2
4217,2018-03-05,2018-03-03,YTMI,Insider_YTMI_3,CTO,S-Sale,78706,23.97,1886443.15,139162,Indirect,2
7157,2018-03-05,2018-03-04,OSBT,Insider_OSBT_5,SVP,S-Sale,22407,12.63,283030.16,0,Direct,1
1488,2018-03-05,2018-03-04,JWZ,Insider_JWZ_0,VP,S-Sale,1590,16.58,26362.2,44353,Direct,1
134,2018-03-05,2018-03-05,KVP,Insider_KVP_0,SVP,S-Sale,5129,12.41,63663.03,165401,Indirect,0
6622,2018-03-06,2018-03-02,PWBQ,Insider_PWBQ_1,CFO,S-Sale,47834,9.46,452330.05,18378,Indirect,4
2253,2018-03-06,2018-03-04,LFBU,Insider_LFBU_1,COO,S-Sale,37874,4.11,155765.12,0,Direct,2
4578,2018-03-06,2018-03-04,UEJJ,Insider_UEJJ_0,10% Owner,P-Purchase,530,6.29,3334.08,3222,Direct,2
805,2018-03-06,2018-03-02,UNI,Insider_UNI_5,General Counsel,S-Sale,3171,17.81,56466.82,14838,Direct,4
5886,2018-03-06,2018-03-05,OKH,Insider_OKH_1,CFO,S-Sale,9605,13.03,125189.54,38141,Direct,1
7536,2018-03-06,2018-03-03,ACR,Insider_ACR_5,Director,S-Sale,348,5.0,1740.56,413752,Direct,3
3436,2018-03-07,2018-03-06,UFZL,Insider_UFZL_0,Director,P-Purchase,426,5.9,2513.9,31211,Indirect,1
5407,2018-03-07,2018-03-04,JQTX,Insider_JQTX_7,VP,S-Sale,586,27.14,15905.04,21416,Indirect,3
4415,2018-03-07,2018-03-06,FSLV,Insider_FSLV_2,10% Owner,P-Purchase,100,25.32,2531.78,218837,Indirect,1
6906,2018-03-07,2018-03-04,XDYU,Insider_XDYU_9,VP,P-Purchase,11761,13.46,158320.35,43557,Direct,3
4472,2018-03-08,2018-03-07,FVJ,Insider_FVJ_3,Director,P-Purchase,738,7.18,5300.14,81465,Direct,1
3693,2018-03-08,2018-03-08,TPYV,Insider_TPYV_1,CEO,P-Purchase,100,11.51,1151.18,11792,Trust,0
2066,2018-03-08,2018-03-01,YYR,Insider_YYR_5,CEO,S-Sale,2024,52.2,105656.2,63290,Direct,7
6614,2018-03-09,2018-03-09,AHQ,Insider_AHQ_0,CTO,S-Sale,4162,6.62,27534.31,59761,Direct,0
5978,2018-03-09,2018-03-08,VQI,Insider_VQI_4,Director,S-Sale,134508,11.15,1499840.55,0,Indirect,1
7209,2018-03-09,2018-03-08,AIKV,Insider_AIKV_1,10% Owner,S-Sale,29271,2.7,79153.66,111878,Direct,1
213,2018-03-12,2018-03-10,JWZ,Insider_JWZ_1,CEO,S-Sale,2904,18.89,54846.31,120,Direct,2
519,2018-03-12,2018-03-08,MAVT,Insider_MAVT_0,Director,S-Sale,31684,6.09,192949.71,97293,Direct,4
4680,2018-03-13,2018-03-12,SQD,Insider_SQD_0,10% Owner,S-Sale,351,21.21,7443.09,48066,Trust,1
3294,2018-03-13,2018-03-13,OKH,Insider_OKH_7,General Counsel,P-Purchase,723,11.35,8206.65,17993,Direct,0
4441,2018-03-13,2018-03-10,EXQN,Insider_EXQN_0,General Counsel,S-Sale,15828,10.28,162766.56,18704,Direct,3
989,2018-03-14,2018-03-14,JZSG,Insider_JZSG_4,VP,S-Sale,2578,20.82,53677.94,6543,Indirect,0
38,2018-03-14,2018-03-12,APGE,Insider_APGE_1,Director,S-Sale,1542,5.4,8319.27,57993,Direct,2
3090,2018-03-14,2018-03-12,BFVK,Insider_BFVK_1,VP,S-Sale,24350,11.38,277214.01,0,Indirect,2
5168,2018-03-14,2018-03-12,YUFL,Insider_YUFL_9,CFO,S-Sale,707,4.23,2990.26,15157,Indirect,2
