ticker,sector,market_cap,share_price,shares_outstanding,avg_daily_volume,bid_ask_spread_bps,size_category
ZSZ,Materials,55957466.0,4.32,12957730,5000,15.4,Micro
XEMD,Real Estate,1407795237.0,30.56,46073793,29961,5.3,Small
PWBQ,Financials,3376643973.0,9.58,352609355,653336,2.7,Mid
TXLR,Energy,619351070.0,9.77,63366215,37168,5.3,Small
AASK,Healthcare,8627602234.0,22.22,388238994,1460737,3.0,Mid
CAAH,Materials,73088343.0,22.15,3300046,16754,18.9,Micro
LMLN,Real Estate,31315431.0,6.95,4503146,5222,32.8,Micro
SRC,Energy,11974663.0,23.16,517095,5000,22.3,Micro
ZHZ,Energy,4347556329.0,7.78,558764291,279242,2.6,Mid
BSIG,Industrials,955607844.0,52.23,18296123,60633,6.1,Small
URM,Real Estate,266250351.0,6.28,42393380,9619,7.1,Micro
XDYU,Technology,487082235.0,14.75,33011335,64449,8.9,Small
DJEI,Utilities,38807330.0,6.52,5954952,5357,29.3,Micro
CQCP,Consumer Discretionary,24024826336.0,72.11,333181205,2712374,1.3,Large
QGX,Consumer Discretionary,371328669.0,4.53,82051272,26080,8.3,Small
ELQW,Financials,358310551.0,18.53,19334863,109167,12.9,Small
YCIQ,Financials,1086665775.0,6.77,160580872,72457,9.2,Small
TPYV,Consumer Discretionary,699458217.0,9.18,76217582,72369,8.0,Small
SQD,Communication Services,440310732.0,17.51,25144782,47015,9.2,Small
ISL,Technology,70925882.0,32.45,2185769,5237,12.3,Micro
NTS,Communication Services,687548577.0,44.64,15400734,62185,7.2,Small
PUEC,Communication Services,8709185356.0,3.56,-2147483648,607496,2.8,Mid
TUDU,Healthcare,3315108145.0,15.09,219652015,75993,3.2,Mid
YGMU,Consumer Staples,5178265170.0,39.16,132241591,690538,2.4,Mid
GNZE,Utilities,117249158.0,3.16,37060435,19760,8.9,Micro
KKRO,Healthcare,49560828.0,15.67,3163547,5000,10.9,Micro
JZL,Industrials,234644825.0,12.16,19292955,17110,5.5,Micro
FGNM,Consumer Staples,325315111.0,16.97,19166439,16790,10.3,Small
IRZ,Consumer Staples,2109137078.0,6.57,321140073,101046,4.3,Mid
EFS,Real Estate,13985948.0,3.86,3620268,5000,26.4,Micro
MAVT,Technology,4617829263.0,2.64,1751390209,124786,2.7,Mid
GYM,Technology,221423072.0,26.61,8322544,48786,10.8,Micro
FSLV,Consumer Staples,136469823.0,29.47,4631423,12054,11.7,Micro
JZSG,Communication Services,47593756.0,15.52,3066550,5000,12.5,Micro
MMRZ,Real Estate,14965498.0,7.95,1883376,5000,39.1,Micro
HIGA,Utilities,1294910025.0,3.33,389410169,99907,5.5,Small
YQYX,Consumer Staples,335781880.0,19.12,17562841,18276,9.3,Small
UFZL,Materials,28862981.0,5.05,5715508,6586,29.4,Micro
MOUP,Financials,28598311.0,6.9,4147005,5000,18.0,Micro
KEDC,Financials,160786433.0,7.62,21101164,7631,16.5,Micro
YROI,Healthcare,5935628434.0,10.4,570638761,811448,2.6,Mid
OAU,Industrials,184421705.0,6.64,27783918,9831,14.2,Micro
CPWY,Financials,19664837.0,12.51,1571554,5000,33.2,Micro
JPHF,Energy,189076544.0,7.41,25523677,5404,7.9,Micro
UHZD,Healthcare,180113466.0,21.35,8435833,23382,12.8,Micro
ZREI,Financials,8886111.0,27.79,319703,5000,40.4,Micro
VQI,Industrials,266869208.0,13.29,20084021,62445,9.5,Micro
TMP,Communication Services,194184218.0,17.64,11008924,12847,10.4,Micro
NCF,Communication Services,1030357284.0,66.31,15539359,57334,5.3,Small
EOYB,Technology,8205914165.0,4.77,1721055455,1518865,3.0,Mid
RME,Technology,2235692931.0,4.54,492296401,52936,4.8,Mid
AVA,Utilities,181361051.0,21.24,8537698,29798,11.1,Micro
OQKU,Consumer Staples,40154833.0,57.81,694549,5000,12.8,Micro
YVQM,Materials,30228397856.0,9.89,-2147483648,1463170,1.6,Large
ICA,Technology,327367248.0,48.5,6750493,10422,10.7,Small
WFQ,Real Estate,301738928.0,13.16,22929291,31925,17.8,Small
EFCU,Financials,281762435.0,7.07,39875978,10662,12.7,Micro
UEJJ,Real Estate,420330796.0,5.51,76217867,82429,4.4,Small
UNI,Industrials,226929796.0,20.16,11258347,23119,10.3,Micro
SMM,Technology,104783659.0,5.86,17883260,9097,23.5,Micro
AQH,Materials,109962934.0,13.0,8458077,5000,16.1,Micro
HGZZ,Industrials,277420264.0,43.24,6415786,22823,10.2,Micro
VCRL,Energy,110644776.0,9.53,11608634,15873,17.5,Micro
LEYQ,Energy,81562291.0,34.86,2340019,15909,12.5,Micro
OWO,Real Estate,356403620.0,4.61,77300362,32097,9.6,Small
NBKS,Consumer Staples,185959787.0,7.95,23398168,5000,10.1,Micro
BFRB,Healthcare,4410206627.0,3.95,1115872671,833815,3.0,Mid
OSBT,Consumer Staples,8886111.0,12.92,688040,5000,46.9,Micro
AXOW,Communication Services,2098969472.0,22.74,92308777,105697,3.1,Mid
QEDJ,Utilities,2772328302.0,12.94,214282045,114714,5.4,Mid
JQTX,Consumer Staples,8886111.0,32.51,273309,5000,32.2,Micro
FUB,Utilities,158800988.0,6.69,23736054,17512,12.5,Micro
KKP,Utilities,150791168.0,14.59,10335883,9962,7.7,Micro
OYW,Materials,23358674.0,7.99,2923974,5000,30.9,Micro
KVP,Technology,72560406.0,16.27,4459685,5000,24.4,Micro
HDXY,Materials,39863173.0,18.23,2186854,5000,17.2,Micro
CRZS,Utilities,6895168585.0,19.41,355192349,753149,1.8,Mid
ERJ,Industrials,1585587927.0,5.17,306490273,227798,5.0,Small
UFA,Energy,2902386513.0,5.98,485454465,149752,5.6,Mid
LZNB,Utilities,1078686264.0,6.93,155544104,288197,3.5,Small
ZMI,Materials,38559259.0,10.06,3831670,5000,14.6,Micro
OYV,Industrials,114474600.0,13.06,8763574,5000,11.5,Micro
KPQ,Materials,710070068.0,21.47,33078792,48365,5.0,Small
AHQ,Consumer Staples,32611317.0,6.18,5275842,6313,17.0,Micro
TOOX,Financials,1061976015.0,3.38,313783122,105516,2.9,Small
ZWNX,Real Estate,190929400.0,68.35,2793538,5872,12.8,Micro
ZNXS,Healthcare,149876555.0,4.93,30416170,25334,13.1,Micro
OWNK,Communication Services,1058086519.0,23.79,44485282,35935,3.2,Small
MRZF,Materials,654691022.0,12.49,52412750,113008,10.1,Small
OYWE,Healthcare,153661225.0,14.9,10316100,36671,19.4,Micro
GYQ,Consumer Discretionary,2371512196.0,12.17,194907189,94402,3.1,Mid
ZLY,Materials,42038062.0,8.95,4694769,5000,27.9,Micro
TYDJ,Financials,891739041.0,17.66,50501129,165411,4.9,Small
MROD,Healthcare,855829956.0,8.58,99777376,25987,6.2,Small
BOHH,Communication Services,168562374.0,30.97,5442636,18692,8.8,Micro
